Size,Time,Time Slot,Meal_Price,Tip,Percent_Tip,Total
1,11:00,0,16.24,2,11,18.24
5,12:00,1,27.85,4,12.6,31.85
1,1:00,2,7.14,2,21.9,9.14
4,4:00,5,31.47,3,8.7,34.47
4,7:00,8,29.51,4,11.9,33.51
2,11:00,0,20.47,2,8.9,22.47
2,3:00,4,16.35,3,15.5,19.35
4,5:00,6,36.84,7,16,43.84
4,6:00,7,47.21,5,9.6,52.21
5,4:00,5,41.88,5,10.7,46.88
1,2:00,3,3.85,0,0,3.85
6,6:00,7,51.68,10,16.2,61.68
9,7:00,8,74.88,5,6.3,79.88
10,4:00,5,91.56,15,14.1,106.56
1,4:00,5,6.87,1,12.7,7.87
2,6:00,7,26.85,5,15.7,31.85
2,4:00,5,23.84,2,7.7,25.84
3,7:00,8,41.99,6,12.5,47.99
4,3:00,4,41.51,8,16.2,49.51
4,1:00,2,52.71,10,15.9,62.71
4,12:00,1,36.84,5,12,41.84
5,11:00,0,41.22,5,10.8,46.22
3,5:00,6,32.68,6,15.5,38.68
3,6:00,7,24.57,4,14,28.57
4,4:00,5,41.58,8,16.1,49.58
4,3:00,4,46.49,7,13.1,53.49
8,6:00,7,74.51,10,11.8,84.51
8,7:00,8,94.68,10,9.6,104.68
10,6:00,7,105.42,15,12.5,120.42
7,5:00,6,66.35,10,13.1,76.35
7,4:00,5,52.18,6,10.3,58.18
6,2:00,3,40.78,6,12.8,46.78
6,1:00,2,74.65,10,11.8,84.65
4,1:00,2,41.05,5,10.9,46.05
1,4:00,5,15.11,3,16.6,18.11
2,5:00,6,8.95,2,18.3,10.95
3,5:00,6,31.75,3,8.6,34.75
4,3:00,4,36.58,4,9.9,40.58
7,12:00,1,64.25,8,11.1,72.25
4,2:00,3,40.66,4,9,44.66
1,11:00,0,12.47,5,28.6,17.47
4,6:00,7,39.65,5,11.2,44.65
5,5:00,6,58.35,8,12.1,66.35
8,7:00,8,68.35,8,10.5,76.35
10,5:00,6,98.61,10,9.2,108.61
2,4:00,5,35.84,5,12.2,40.84
5,3:00,4,52.11,5,8.8,57.11
4,3:00,4,36.94,4,9.8,40.94
7,5:00,6,68.35,7,9.3,75.35
4,2:00,3,46.15,4,8,50.15